directed,source,target,type,year
False,author:eduardo_j_lima_ii:5af9e69c,author:alexandre_q_bracarense:4b260d0d,Collaborates,2004
False,author:renato_v_b_henriques:807204c4,author:alexandre_q_bracarense:4b260d0d,Collaborates,2004
False,affiliation:universidade_federal_de_minas_gerais:24fe50f7,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,Collaborates,2004
False,affiliation:universidade_federal_de_minas_gerais:24fe50f7,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Collaborates,2004
False,affiliation:universidade_federal_de_minas_gerais:24fe50f7,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Collaborates,2004
False,affiliation:universidade_federal_de_minas_gerais:24fe50f7,affiliation:universidade_federal_de_minas_gerais:304dd372,Collaborates,2004
False,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Collaborates,2004
False,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Collaborates,2004
False,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,affiliation:universidade_federal_de_minas_gerais:304dd372,Collaborates,2004
False,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Collaborates,2004
False,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,affiliation:universidade_federal_de_minas_gerais:304dd372,Collaborates,2004
False,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,affiliation:universidade_federal_de_minas_gerais:304dd372,Collaborates,2004
True,article:2004_1323,theme:cooperative_robots_for_welding_complex_geometry:cd0a549f,Was_Associated_To,2004
True,article:2004_1323,theme:pc_controlled_master_slave_robot_welding_architecture:55b9afc7,Was_Associated_To,2004
True,article:2004_1323,theme:best_welding_condition_requires_coordinated_torch_speed_and_part_posit:d97e8562,Was_Associated_To,2004
True,author:adgenor_l_neto:ff175aad,theme:cooperative_robots_for_welding_complex_geometry:cd0a549f,Has_Expertise_In,2004
True,author:adgenor_l_neto:ff175aad,theme:pc_controlled_master_slave_robot_welding_architecture:55b9afc7,Has_Expertise_In,2004
True,author:adgenor_l_neto:ff175aad,theme:best_welding_condition_requires_coordinated_torch_speed_and_part_posit:d97e8562,Has_Expertise_In,2004
True,author:eduardo_j_lima_ii:5af9e69c,theme:cooperative_robots_for_welding_complex_geometry:cd0a549f,Has_Expertise_In,2004
True,author:eduardo_j_lima_ii:5af9e69c,theme:pc_controlled_master_slave_robot_welding_architecture:55b9afc7,Has_Expertise_In,2004
True,author:eduardo_j_lima_ii:5af9e69c,theme:best_welding_condition_requires_coordinated_torch_speed_and_part_posit:d97e8562,Has_Expertise_In,2004
True,author:renato_v_b_henriques:807204c4,theme:cooperative_robots_for_welding_complex_geometry:cd0a549f,Has_Expertise_In,2004
True,author:renato_v_b_henriques:807204c4,theme:pc_controlled_master_slave_robot_welding_architecture:55b9afc7,Has_Expertise_In,2004
True,author:renato_v_b_henriques:807204c4,theme:best_welding_condition_requires_coordinated_torch_speed_and_part_posit:d97e8562,Has_Expertise_In,2004
True,author:alexandre_q_bracarense:4b260d0d,theme:cooperative_robots_for_welding_complex_geometry:cd0a549f,Has_Expertise_In,2004
True,author:alexandre_q_bracarense:4b260d0d,theme:pc_controlled_master_slave_robot_welding_architecture:55b9afc7,Has_Expertise_In,2004
